127.0.0.1 - - [09/May/2024:00:21:21 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/May/2024:00:21:22 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:00:21:31 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [09/May/2024:00:21:33 +0530] "GET /Vehicle_rentalDb/addVehicle.jsp?id=3%result=a HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [09/May/2024:00:23:24 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:00:23:30 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [09/May/2024:00:23:31 +0530] "GET /Vehicle_rentalDb/addVehicle.jsp?id=3&result=a HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [09/May/2024:00:24:00 +0530] "POST /Vehicle_rentalDb/sR HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [09/May/2024:00:26:21 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:00:26:29 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [09/May/2024:00:26:30 +0530] "GET /Vehicle_rentalDb/addVehicle.jsp?id=3&result=a HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [09/May/2024:00:26:50 +0530] "POST /Vehicle_rentalDb/sR HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [09/May/2024:00:30:41 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:00:30:47 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [09/May/2024:00:30:49 +0530] "GET /Vehicle_rentalDb/carOwner/seeRegistrations.jsp?id=3&result=a HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/May/2024:00:45:10 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:00:45:15 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1782
0:0:0:0:0:0:0:1 - - [09/May/2024:00:45:16 +0530] "GET /carOwner/seeRegistrations.jsp?id=3&result=a HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/May/2024:00:47:31 +0530] "GET /Vehicle_rentalDb/carOwner.jsp HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [09/May/2024:00:47:33 +0530] "GET /Vehicle_rentalDb/seeRegistrations.jsp?id=&result=a HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [09/May/2024:00:57:05 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:00:57:17 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 2759
0:0:0:0:0:0:0:1 - - [09/May/2024:00:57:19 +0530] "GET /Vehicle_rentalDb/viewUser? HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [09/May/2024:00:57:36 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:00:57:43 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 2759
0:0:0:0:0:0:0:1 - - [09/May/2024:00:57:44 +0530] "GET /Vehicle_rentalDb/viewUser? HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [09/May/2024:01:04:54 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [09/May/2024:01:04:54 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [09/May/2024:01:04:57 +0530] "GET /Vehicle_rentalDb/seeRegistrations.jsp?id=3&result=a HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [09/May/2024:01:05:55 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:01:06:11 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1909
